month,total_gbif,Birds of Prey,Clutter,Cormorants,Ducks,Geese,Gulls,Pigeons,Songbirds,Waders
1,2098,304,0,71,355,152,160,20,561,475
2,1581,165,0,68,376,89,98,5,468,312
3,3504,143,0,60,293,82,170,46,2481,229
4,4862,292,0,70,250,123,192,30,3646,259
5,4804,269,0,61,295,90,311,51,3296,431
6,4269,119,0,39,166,25,1172,15,2621,112
7,3810,124,0,55,101,24,889,9,2448,160
8,3144,151,0,90,150,25,696,15,1571,446
9,4369,233,0,71,178,36,329,15,3228,279
10,4708,166,0,57,175,57,164,17,3823,249
11,4771,247,0,50,235,81,139,4,3728,287
12,1740,249,0,118,400,120,155,10,341,347
