month,Birds of Prey,Clutter,Cormorants,Ducks,Geese,Gulls,Pigeons,Songbirds,Waders
1,0.144828,0.000238,0.034007,0.169084,0.072533,0.076338,0.009750,0.267063,0.226159
2,0.104383,0.000315,0.043204,0.237465,0.056449,0.062126,0.003469,0.295490,0.197099
3,0.040901,0.000143,0.017244,0.083654,0.023514,0.048596,0.013254,0.707282,0.065413
4,0.060105,0.000103,0.014487,0.051474,0.025378,0.039556,0.006267,0.749306,0.053324
5,0.056047,0.000104,0.012790,0.061454,0.018821,0.064781,0.010710,0.685557,0.089737
6,0.027963,0.000117,0.009243,0.038961,0.005967,0.274365,0.003627,0.613432,0.026325
7,0.032639,0.000131,0.014550,0.026609,0.006423,0.233189,0.002490,0.641893,0.042076
8,0.048118,0.000159,0.028744,0.047801,0.008099,0.221216,0.004923,0.499127,0.141814
9,0.053390,0.000114,0.016348,0.040814,0.008346,0.075340,0.003544,0.738196,0.063908
10,0.035332,0.000106,0.012202,0.037241,0.012202,0.034907,0.003714,0.811353,0.052944
11,0.051827,0.000105,0.010575,0.049314,0.017066,0.029212,0.000942,0.780756,0.060203
12,0.143021,0.000287,0.067928,0.229579,0.069074,0.089137,0.006019,0.195758,0.199197
