datetime,wind_speed,wind_gust,wind_u,wind_v,temp_c,dewpoint_c,sunshine_hrs,radiation,precip_dur,precip_mm,humidity
2023-09-01 01:00:00,2.0,4.0,1.5320888862379558,1.285575219373079,14.1,11.4,0.0,0,0.0,0.0,83
2023-09-01 02:00:00,3.0,4.0,0.5209445330007914,2.954423259036624,12.6,11.5,0.0,0,0.0,0.0,93
2023-09-01 03:00:00,3.0,4.0,0.5209445330007914,2.954423259036624,12.4,11.5,0.0,0,0.0,0.0,94
2023-09-01 04:00:00,3.0,4.0,0.5209445330007914,2.954423259036624,11.6,11.1,0.0,1,0.0,0.0,96
2023-09-01 05:00:00,3.0,4.0,-3.6739403974420594e-16,3.0,12.5,11.5,0.5,24,0.0,0.0,93
2023-09-01 06:00:00,2.0,3.0,-2.4492935982947064e-16,2.0,13.9,12.1,0.2,59,0.0,0.0,88
2023-09-01 07:00:00,2.0,3.0,0.34729635533386094,1.969615506024416,16.5,12.5,0.9,128,0.0,0.0,77
2023-09-01 08:00:00,2.0,3.0,-0.34729635533386055,1.969615506024416,16.9,12.0,0.5,127,0.0,0.0,72
2023-09-01 09:00:00,1.0,3.0,-0.766044443118978,0.6427876096865394,17.4,12.5,0.4,156,0.0,0.0,73
2023-09-01 10:00:00,2.0,3.0,-1.2855752193730785,-1.532088886237956,17.8,11.9,0.7,216,0.0,0.0,68
2023-09-01 11:00:00,2.0,3.0,-0.6840402866513374,-1.8793852415718169,18.4,12.4,0.7,228,0.0,0.0,68
2023-09-01 12:00:00,3.0,5.0,-1.9283628290596178,-2.298133329356934,18.4,12.1,1.0,254,0.0,0.0,66
2023-09-01 13:00:00,4.0,5.0,-3.064177772475912,-2.5711504387461575,18.4,11.9,0.9,209,0.0,0.0,65
2023-09-01 14:00:00,4.0,5.0,-2.571150438746157,-3.064177772475912,19.1,12.2,1.0,184,0.0,0.0,64
2023-09-01 15:00:00,3.0,5.0,-2.298133329356934,-1.9283628290596182,18.9,12.3,1.0,134,0.0,0.0,65
2023-09-01 16:00:00,5.0,6.0,-2.4999999999999996,-4.330127018922194,17.9,11.8,0.8,74,0.0,0.0,67
2023-09-01 17:00:00,5.0,7.0,-3.2139380484326963,-3.83022221559489,17.4,11.6,0.8,32,0.0,0.0,68
2023-09-01 18:00:00,4.0,6.0,-2.571150438746157,-3.064177772475912,17.1,12.1,0.0,2,0.0,0.0,72
2023-09-01 19:00:00,4.0,6.0,-3.064177772475912,-2.5711504387461575,17.2,11.5,0.0,0,0.0,0.0,69
2023-09-01 20:00:00,4.0,5.0,-3.7587704831436333,-1.3680805733026753,17.1,10.5,0.0,0,0.0,0.0,65
2023-09-01 21:00:00,3.0,5.0,-2.8190778623577253,1.0260604299770062,15.3,11.7,0.0,0,0.0,0.0,79
2023-09-01 22:00:00,2.0,4.0,-1.7320508075688774,0.9999999999999996,15.4,11.3,0.0,0,0.0,0.0,76
2023-09-01 23:00:00,2.0,3.0,-0.9999999999999999,1.7320508075688774,15.1,12.0,0.0,0,0.0,0.0,81
2023-09-02 00:00:00,2.0,3.0,-1.285575219373079,1.5320888862379558,14.8,11.5,0.0,0,0.0,0.0,80
2023-09-02 01:00:00,2.0,3.0,-1.8793852415718169,0.6840402866513374,14.5,11.1,0.0,0,0.0,0.0,79
2023-09-02 02:00:00,2.0,3.0,-1.7320508075688774,0.9999999999999996,14.0,11.0,0.0,0,0.0,0.0,82
2023-09-02 03:00:00,2.0,2.0,-1.8793852415718169,0.6840402866513374,14.1,11.5,0.0,0,0.0,0.0,84
2023-09-02 04:00:00,2.0,2.0,-1.8793852415718169,0.6840402866513374,13.8,11.3,0.0,1,0.0,0.0,84
2023-09-02 05:00:00,1.0,2.0,-0.984807753012208,0.1736481776669303,15.4,11.7,0.5,21,0.0,0.0,78
2023-09-02 06:00:00,1.0,2.0,-0.984807753012208,0.1736481776669303,17.3,12.6,1.0,69,0.0,0.0,73
2023-09-02 07:00:00,1.0,2.0,-0.766044443118978,-0.6427876096865394,17.9,13.5,1.0,124,0.0,0.0,75
2023-09-02 08:00:00,2.0,2.0,-1.8793852415718166,-0.6840402866513376,18.6,13.4,1.0,175,0.0,0.0,71
2023-09-02 09:00:00,2.0,2.0,-1.7320508075688772,-1.0000000000000002,18.8,13.1,1.0,214,0.0,0.0,69
2023-09-02 10:00:00,2.0,3.0,-0.34729635533386066,-1.969615506024416,19.7,14.3,1.0,247,0.0,0.0,71
2023-09-02 11:00:00,2.0,5.0,-0.34729635533386066,-1.969615506024416,20.3,12.8,1.0,256,0.0,0.0,62
2023-09-02 12:00:00,4.0,5.0,-0.6945927106677213,-3.939231012048832,19.6,12.3,1.0,250,0.0,0.0,62
2023-09-02 13:00:00,3.0,5.0,-1.0260604299770062,-2.8190778623577253,19.4,12.2,1.0,229,0.0,0.0,63
2023-09-02 14:00:00,3.0,5.0,7.347880794884119e-16,-3.0,20.2,13.6,1.0,190,0.0,0.0,66
2023-09-02 15:00:00,3.0,5.0,7.347880794884119e-16,-3.0,19.7,13.8,1.0,125,0.0,0.0,68
2023-09-02 16:00:00,4.0,5.0,0.6945927106677215,-3.939231012048832,18.9,14.0,1.0,67,0.0,0.0,72
2023-09-02 17:00:00,4.0,5.0,9.797174393178826e-16,-4.0,18.1,14.1,0.8,27,0.0,0.0,77
2023-09-02 18:00:00,4.0,5.0,9.797174393178826e-16,-4.0,17.4,14.4,0.0,1,0.0,0.0,82
2023-09-02 19:00:00,5.0,6.0,-0.8682408883346516,-4.92403876506104,17.4,14.2,0.0,0,0.0,0.0,81
2023-09-02 20:00:00,5.0,7.0,-0.8682408883346516,-4.92403876506104,17.3,13.5,0.0,0,0.0,0.0,78
2023-09-02 21:00:00,4.0,6.0,-0.6945927106677213,-3.939231012048832,17.1,13.2,0.0,0,0.0,0.0,77
2023-09-02 22:00:00,3.0,5.0,7.347880794884119e-16,-3.0,16.6,13.1,0.0,0,0.0,0.0,79
2023-09-02 23:00:00,3.0,3.0,0.5209445330007911,-2.954423259036624,16.2,13.0,0.0,0,0.0,0.0,81
2023-09-03 00:00:00,2.0,3.0,2.0,3.6739403974420594e-16,15.1,14.1,0.0,0,0.0,0.0,93
