wind_speed,wind_gust,wind_u,wind_v,temp_c,dewpoint_c,sunshine_hrs,radiation,precip_dur,precip_mm,humidity
4.0,5.0,-3.7587704831436333,-1.3680805733026753,21.4,17.4,1.0,174.0,0.0,0.0,77.0
5.0,6.0,-4.330127018922193,-2.5000000000000004,20.9,17.9,1.0,218.0,0.0,0.0,83.0
5.0,6.0,-4.330127018922193,-2.5000000000000004,20.9,17.9,1.0,218.0,0.0,0.0,83.0
5.0,6.0,-4.330127018922193,-2.5000000000000004,20.9,17.9,1.0,218.0,0.0,0.0,83.0
5.0,6.0,-4.330127018922193,-2.5000000000000004,20.9,17.9,1.0,218.0,0.0,0.0,83.0
5.0,6.0,-4.330127018922193,-2.5000000000000004,20.9,17.9,1.0,218.0,0.0,0.0,83.0
5.0,6.0,-4.330127018922193,-2.5000000000000004,20.9,17.9,1.0,218.0,0.0,0.0,83.0
5.0,6.0,-4.330127018922193,-2.5000000000000004,20.9,17.9,1.0,218.0,0.0,0.0,83.0
5.0,6.0,-4.330127018922193,-2.5000000000000004,20.9,17.9,1.0,218.0,0.0,0.0,83.0
5.0,6.0,-4.330127018922193,-2.5000000000000004,20.9,17.9,1.0,218.0,0.0,0.0,83.0
5.0,6.0,-4.330127018922193,-2.5000000000000004,20.9,17.9,1.0,218.0,0.0,0.0,83.0
5.0,6.0,-4.330127018922193,-2.5000000000000004,20.9,17.9,1.0,218.0,0.0,0.0,83.0
5.0,6.0,-4.330127018922193,-2.5000000000000004,20.9,17.9,1.0,218.0,0.0,0.0,83.0
5.0,6.0,-4.330127018922193,-2.5000000000000004,20.9,17.9,1.0,218.0,0.0,0.0,83.0
5.0,6.0,-4.330127018922193,-2.5000000000000004,20.9,17.9,1.0,218.0,0.0,0.0,83.0
5.0,6.0,-4.330127018922193,-2.5000000000000004,20.9,17.9,1.0,218.0,0.0,0.0,83.0
5.0,6.0,-4.330127018922193,-2.5000000000000004,20.9,17.9,1.0,218.0,0.0,0.0,83.0
5.0,6.0,-4.330127018922193,-2.5000000000000004,20.9,17.9,1.0,218.0,0.0,0.0,83.0
